movie_id,title,cast,crew
3176,Battle Royale,"['Tatsuya Fujiwara', 'Aki Maeda', 'Takeshi Kitano', 'Taro Yamamoto', 'Masanobu Ando', 'Ko Shibasaki', 'Chiaki Kuriyama', 'Takashi Tsukamoto', 'Sousuke Takaoka', 'Yukihiro Kotani']","['Director: Kinji Fukasaku', 'Producer: Kinji Fukasaku', 'Producer: Kenta Fukasaku', 'Producer: Kimio Kataoka', 'Producer: Chie Kobayashi', 'Producer: Hisao Nabeshima', 'Producer: Masumi Okada']"
3176,Battle Royale,"['Tatsuya Fujiwara', 'Aki Maeda', 'Takeshi Kitano', 'Taro Yamamoto', 'Masanobu Ando', 'Ko Shibasaki', 'Chiaki Kuriyama', 'Takashi Tsukamoto', 'Sousuke Takaoka', 'Yukihiro Kotani']","['Director: Kinji Fukasaku', 'Producer: Kinji Fukasaku', 'Producer: Kenta Fukasaku', 'Producer: Kimio Kataoka', 'Producer: Chie Kobayashi', 'Producer: Hisao Nabeshima', 'Producer: Masumi Okada']"
617,Wild Things,"['Kevin Bacon', 'Matt Dillon', 'Neve Campbell', 'Denise Richards', 'Theresa Russell', 'Bill Murray', 'Daphne Rubin-Vega', 'Robert Wagner', 'Carrie Snodgress', 'Jeff Perry']","['Director: John McNaughton', 'Producer: Steven A. Jones', 'Producer: Rodney Liber', 'Writer: Stephen Peters']"
512198,Dead Bride,"['Jennifer Mischiati', 'Christoph Hülsen', 'Douglas Dean', 'Seán James Sutton', 'Michael Segal']","['Writer: Francesco Picone', 'Producer: Metrovideo', 'Director: Francesco Picone']"
9390,Jerry Maguire,"['Tom Cruise', 'Renée Zellweger', 'Cuba Gooding Jr.', 'Kelly Preston', ""Jerry O'Connell"", 'Jay Mohr', 'Regina King', 'Bonnie Hunt', 'Jonathan Lipnicki', 'Todd Louiso']","['Director: Cameron Crowe', 'Producer: James L. Brooks', 'Producer: Cameron Crowe', 'Producer: Laurence Mark', 'Producer: Richard Sakai', 'Writer: Cameron Crowe']"
1117027,Cassino in Ischia,"['Dominic Purcell', 'Ugo Dighero', 'Miriam Candurro', 'Marcello Romolo', 'Carlotta Natoli', 'Lucianna De Falco', 'Fabio Avaro', 'Simone Mazzella', 'Alessia Santalucia', 'Claudia Delli Noci']","['Director: Frank Ciota', 'Writer: Joseph A. Ciota', 'Producer: Barbara De Fina']"
12279,Spy Kids 3-D: Game Over,"['Daryl Sabara', 'Ricardo Montalban', 'Alexa PenaVega', 'Sylvester Stallone', 'Courtney Jines', 'Ryan Pinkston', 'Robert Vito', 'Bobby Edner', 'Mike Judge', 'Salma Hayek Pinault']","['Producer: Elizabeth Avellan', 'Director: Robert Rodriguez', 'Producer: Robert Rodriguez']"
10323,Clash of the Titans,"['Harry Hamlin', 'Judi Bowker', 'Burgess Meredith', 'Maggie Smith', 'Ursula Andress', 'Claire Bloom', 'Siân Phillips', 'Flora Robson', 'Laurence Olivier', 'Tim Pigott-Smith']","['Producer: Charles H. Schneer', 'Director: Desmond Davis', 'Producer: Ray Harryhausen', 'Writer: Beverley Cross']"
12162,The Hurt Locker,"['Jeremy Renner', 'Anthony Mackie', 'Brian Geraghty', 'David Morse', 'Guy Pearce', 'Evangeline Lilly', 'Ralph Fiennes', 'Christian Camargo', 'Christopher Sayegh', 'David Gueriera']","['Director: Kathryn Bigelow', 'Producer: Kathryn Bigelow', 'Producer: Mark Boal', 'Producer: Nicolas Chartier', 'Producer: Jenn Lee', 'Producer: Greg Shapiro']"
10403,The Player,"['Tim Robbins', 'Greta Scacchi', 'Fred Ward', 'Whoopi Goldberg', 'Peter Gallagher', 'Brion James', 'Cynthia Stevenson', ""Vincent D'Onofrio"", 'Dean Stockwell', 'Richard E. Grant']","['Producer: David Brown', 'Producer: Nick Wechsler', 'Director: Robert Altman', 'Producer: Michael Tolkin']"
105814,The Imp,"['Diana Pang Dan', 'Mark Cheng Ho-Nam', 'Emiko Ishizuka', 'Dick Lau Tik-Chi', 'Keith Ng Shui-Ting', 'William Ho', 'Ho Kei-Yung', 'Lu Cheung', 'Ruby Wong Jo-Yi']","['Director: Ivan Lai Kai-Ming', 'Writer: Sam Leong Tak-Sam']"
424386,Una donna per tutti,"['Malù', 'Kieran Canter', 'Rita Della Torre', 'Micaela', 'Gianna Keneri', 'Mack Kilan', 'Roberto Francesconi', 'Luigi Soldati']","['Director: Pasquale Fanetti', 'Writer: Pasquale Fanetti']"
1155828,Sing Sing,"['Colman Domingo', 'Clarence Maclin', 'Sean San Jose', 'Paul Raci', 'David ""Dap"" Giraudy', 'Patrick ""Preme"" Griffin', 'Mosi Eagle', 'James ""Big E"" Williams', 'Sean Dino Johnson', 'Brent Buell']","['Producer: Monique Walton', 'Producer: Clint Bentley', 'Director: Greg Kwedar', 'Producer: Greg Kwedar']"
6520,First Knight,"['Sean Connery', 'Richard Gere', 'Julia Ormond', 'Ben Cross', 'Liam Cunningham', 'Christopher Villiers', 'Valentine Pelka', 'Colin McCormack', 'Ralph Ineson', 'John Gielgud']","['Director: Jerry Zucker', 'Producer: Hunt Lowry', 'Producer: Kathryn J. McDermott', 'Producer: Jerry Zucker']"
